,Catégorie,Produit,Prix Habituel,Prix,Description
0, Minuman   Kopi   Kopi Bubuk/ Biji , Gadjah Kopi Tubruk Asli 150G,Rp 11.000,Rp8.900,"CARA PENGGUNAAN :
campurkan gadjah kopi tubruk dengan air panas 150ml, aduk rata dan siap disajikan

KOMPOSISI :
Kopi Bubuk 100%

TAKARAN PER KEMASAN :
25g

TAKARAN PER SERVING :
25g

TAKARAN SAJI :
25g

PLU :
20112371"
1, Minuman   Kopi   Kopi Bubuk/ Biji , Gadjah Kopi Tubruk Manis 2 In 1 10X25g,Rp 12.900,Rp9.900,"CARA PENGGUNAAN :
campurkan gadjah kopi tubruk dengan air panas 150ml, aduk rata dan siap disajikan

KOMPOSISI :
Kopi Bubuk 100%

TAKARAN PER KEMASAN :
10

TAKARAN PER SERVING :
25g

TAKARAN SAJI :
25g

PLU :
20112372"
2, Minuman   Kopi   Kopi Bubuk/ Biji , Excelso Kopi Bubuk Kalosi Toraja 10X10g,Rp 38.600,Rp35.600,"CARA PENGGUNAAN :
Tuangkan 1 sendok makan bubuk kopi Excelso (10g) dan tambahkan air panas sekitar 200ml (80'C) lalu aduk rata.

KOMPOSISI :
Kopi Bubuk (100%)

TAKARAN PER KEMASAN :
10

TAKARAN PER SERVING :
10g

TAKARAN SAJI :
10g

PLU :
20108851"
3, Minuman   Kopi   Kopi Bubuk/ Biji , Excelso Kopi Bubuk Arabica Gold 10X10g,Rp 28.000,Rp25.000,"CARA PENGGUNAAN :
Tuangkan 1 sendok makan bubuk kopi Excelso (10g) dan tambahkan air panas sekitar 180ml (90'C) lalu aduk rata.

KOMPOSISI :
Kopi Bubuk (100%)

TAKARAN PER KEMASAN :
10

TAKARAN PER SERVING :
10g

TAKARAN SAJI :
10g

PLU :
20108849"
4, Makanan   Bahan Kue   Pengemulsi , Koepoe Koepoe Tbm Besar 80G,Rp 15.100,Rp13.600,"CARA PENGGUNAAN :
1 - 2% dari berat adonan yang digunakan pada satu resep kue/cookies

KOMPOSISI :
Air, Pengemulasi Nabati, Humektan Sorbital, Gula, Dektrose, Pewarna Tartazin Cl 19140, Kuning FCF Cl 15985

PLU :
10038964"
5, Makanan   Bahan Kue   Pengemulsi , Koepoe-Koepoe Ovalett 30G,Rp 8.600,Rp7.700,"CARA PENGGUNAAN :
1 - 2% dari berat adonan yang digunakan pada satu resep kue/cookies

KOMPOSISI :
Air, Pengemulasi Nabati, Humektan Sorbital, Gula, Dektrose, Pewarna Tartazin Cl 19140, Kuning FCF Cl 15985

PLU :
10036828"
6, Makanan   Bahan Kue   Pengemulsi , Koepoe-Koepoe Sp 30G,Rp 9.000,Rp8.100,"CARA PENGGUNAAN :
1 - 2% dari berat adonan yang digunakan pada satu resep kue/cookies

KOMPOSISI :
Pengemulsi Nabati, Propilen Glikol, Humektan Sorbitol, Perisa Alami Vanilla, Pewarna Tartrazine CL 19140

PLU :
10036827"
7, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Duo Custard Pisang & Cokelat,,Rp4.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung terigu, Air, Custard Pisang (mengandung potassium sorbate 0.12%, buah pisang 10%), Pasta Cokelat, Gula Pasir, Tepung Kentang, Tepung Gluten, Lemak Peroti (mengandung antioksidan BHA), Margarin, Ragi, Pengelmulsi, Susu Skim Bubuk, Garam, Bubuk whey, Pengawet Kalsium Propionat, Perisa Artifisial Vanila, Premix Vitamin dan Mineral, Perlakuan Tepung.

OTHER DETAILS :
Roti Manis

TAKARAN PER KEMASAN :
1

TAKARAN SAJI :
50g

PLU :
20100666"
8, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Duo Mentega Gula & Chocochip,,Rp4.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung Terigu, Air, Mentega Gula, Cokelat Chips, Gula Pasir, Tepung Kentang, Tepung Gluten, Lemak Peroti (mengandung antioksidan BHA), Margarin, Ragi, Pengemulsi, Susu Skim Bubuk, Garam, Bubuk Whey, Pengawet Kalsium Propionat, Perisa Artifisial Vanila, Premix Vitamin dan Mineral, Perlakuan Tepung

OTHER DETAILS :
Roti Manis

TAKARAN PER KEMASAN :
1

TAKARAN SAJI :
50g

PLU :
20100667"
9, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Choco Banana,,Rp13.500,"CARA PENANGANAN :
Agar lebih lama, simpan dalam lemari es setelah pembelian.

CARA PENYIMPANAN :
Simpan di tempat sejuk dan kering.

KOMPOSISI :
Tepung terigu, gula, garam, susu bubuk, lemak reroti, pengemulsi, ragi, kalsium propinat, pasta coklat, custard pisang.

TAKARAN PER KEMASAN :
Sajian per kemasan : 2

TAKARAN PER SERVING :
Energi total 12g, lemak jenuh 6g, kolesterol 0mg, protein 7g, karbohidrat total 47g, gula 9g, serat pangan 6g, natrium 180mg,

TAKARAN SAJI :
Takara saji : 90g

PLU :
20074955"
10, Produk Segar   Aneka Roti   Roti Manis , Arnon Roti Manis Choco Roll,Rp 7.000,Rp6.000,"CARA PENANGANAN :
Simpan di tempat yang kering (tidak lembab dan tidak terkena sinar matahari langsung)

CARA PENYIMPANAN :
Suhu Ruang

KOMPOSISI :
Tepung Terigu, Gula Pasir, Margarine, Minyak Sayur, Ragi, Telur, Kalsium Propionat, Air, Pasta Cokelat.

OTHER DETAILS :
Roti Lapis Selai Cokelat 60g

PLU :
20099290"
11, Minuman   Kopi   Kopi Bubuk/ Biji , Excelso Kopi Bubuk Robusta Gold 200g,Rp 33.100,Rp30.100,"CARA PENGGUNAAN :
Ambil 1 sendok makan bubuk kopi excelso (7-8g), dan tuangkan kedalam cangkir. Tambahkan sekitar 200ml air panas lalu aduk rata. Waktu meyeduh optimal adalah 4 samapi 5 menit.

CARA PENYIMPANAN :
Simpan dalam wadah kedap udara ditempat kering dan sejuk.

KOMPOSISI :
Kopi bubuk (100%)

PLU :
20099141"
12, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Taro,,Rp4.000,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung terigu, Air, Lemak Reroti (mengandung antioksidan BHA), Gula Pasir, Sirup Fruktosa, Tepung Kentang, Susu Kental Manis, Perisa Artifisial (Taro, Vanila), Ragi, Tepung Gluten, Margarin, Pengemulsi, Susu Skim Bubuk, Garam, Bubuk Whey, Pengawet (Kalsium Propionat, Kalium Sorbat), Premiks Vitamin dan Mineral, Perlakuan Tepung.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN PER KEMASAN :
Sajian per kemasan: 1

TAKARAN SAJI :
Takaran saji: 50g

PLU :
20094695"
13, Minuman   Kopi   Kopi Bubuk/ Biji , Pikopi Kopi Mix Instant 3 In 1 9X20g,Rp 6.000,Rp5.400,"CARA PENGGUNAAN :
Seduh dengan air panas 150ml

KOMPOSISI :
Gula, krimer nabati, kopi instan, pemanis alami glikosida steviol.

TAKARAN PER KEMASAN :
Sajian per kemasan: 10

TAKARAN PER SERVING :
Energi total 90kkal, energi dari lemak 20kkal, lemak total 2g, lemak jenuh 2g, protein 1g, karbohidrat total 17g, serat pangan 1g, gula total 11g, natrium 30mg. Vitamin C 10%, kalsium 2%, zat besi 4%.

TAKARAN SAJI :
Takaran saji: 20g

PLU :
20098168"
14, Minuman   Kopi   Kopi Bubuk/ Biji , Top Coffee Kopi Cappuccino 6X25g,Rp 9.200,Rp8.200,"CARA PENGGUNAAN :
Panas: Seduh 1 sachet dengan 150mL air panas 80 derajat C. Aduk hingga rata dan kopi siap disajikan. Dingin: Seduh 1 sachet dengan 75mL air panas 80 derajat C. Aduk hingga rata dan tambahkan es 75g kopi siap disajikan.

KOMPOSISI :
Gula, krimer nabati, kopi bubuk, susu skim bubuk, cokelat butir, perisa sintetil cappucino.

PLU :
20095226"
15, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Moka,,Rp4.000,"KOMPOSISI :
Tepung terigu, Air, Lemak Reroti (mengandung antioksidan BHA), Gula Pasir, Susu Kental Manis, Sirup Fruktosa, Margarin, Tepung Kentang, Ragi, Tepung Gluten, Pengemulsi, Susu Skim Bubuk, Garam, Kopi Bubuk (0.1%), Perisa Artifisial (Moka, Vanila, Susu), Pengawet (Kalsium Propionat, Kalium Sorbat), Premiks Vitamin dan Mineral, Perlakuan Tepung.

PERHATIAN :
Simpan di Tempat Sejuk dan Kering

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN SAJI :
Takaran saji : 50g

PLU :
20091811"
16, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Keju,,Rp4.000,"KOMPOSISI :
Tepung terigu, Air, Lemak Reroti (mengandung antioksidan BHA), Gula Pasir, Keju (3,4%), Sirup Fruktosa, Tepung Kentang, Ragi, Tepung Gluten, Bubuk Whey, Margarin Pengemulsi, Susu Skim Bubuk, Garam, Bubuk Keju, Perisa Artifisial (Vanila, Keju, Susu), Pengawet (Kalsium Propionat, Kalium Sorbat), Premiks Vitamin dan Mineral, Perlakuan Tepung.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN PER KEMASAN :
Sajian per kemasan: 1

TAKARAN PER SERVING :
Energi total 190kkal, energi dari lemak 70kkal, lemak total 8g, lemak jenuh 4.5g, lemak trans 0g, kolesterol 0g, protein 5g, karbohidrat total 24g, gula 6g, serat pangan 4g, natrium 240mg.

TAKARAN SAJI :
Takaran saji : 50g

PLU :
20090501"
17, Makanan   Cokelat & Permen   Jelly & Permen Karet , Yupi Candy Gummy Big Burger 32G,,Rp3.900,"CARA PENYIMPANAN :
Simpan di tempat kering di bawah susu 35 C. hindarkan dari sinar matahari langsung.

KOMPOSISI :
Sirup glukosa, gula, air, penstabil, pemanis alami sorbitol, pengatur keasaman (asam sitrat, asam laktat), protein susu, pelapis (malam, lilin karnauba), konsentrat buah apel, perisa sintetik stroberi, nanas, apel,krim, pewarna karmin CI75470, klorofil dan klorofilin tembaga kompleks CI75815, kurkumin CI75300, beta karoten CI75130.

OTHER DETAILS :
Yupi big burger, Kembang gula lunak jeli aneka rasa Stroberi, nanas, apel krim.

PERHATIAN :
Konsumsi berlebihan mempunyai efek laksatif.

TAKARAN PER KEMASAN :
Sajian per kemasan : 1

TAKARAN PER SERVING :
Energi total 110kkal, energi dari lemak 0kkal, lemak total 0g, protein 2g, karbohidrat total 26g, gula 18g, natrium 5mg.

TAKARAN SAJI :
Takaran saji : 32g

PLU :
20080530"
18, Makanan   Cokelat & Permen   Permen , Frozz Candy Cool Mint 15G,,Rp8.400,"CARA PENANGANAN :
Konsumsi berlebihan dapat menyebabkan efek laksatif.

KOMPOSISI :
Pemanis alami sorbitol, anti kempal magnesium stearat, mentol, perisa artifisial cooling, perisa alami mint, pewarna makanan (biru berlian FCF CI42090, tartrazin CI19140).

OTHER DETAILS :
Frozz rasa cool mint, Permen bebas gula.

TAKARAN PER KEMASAN :
Sajian per kemasan : 14

TAKARAN PER SERVING :
Energi total 0kkal, lemak total 0g, protein 0g, karbohidrat total 1g, gula 0g, natrium 0mg.

TAKARAN SAJI :
Takaran Saji : 3 butir

PLU :
20076292"
19, Makanan   Cokelat & Permen   Jelly & Permen Karet , Yupi Candy Gummy Big Frank 32G,,Rp3.900,"KOMPOSISI :
Sirop glukosa, gula, air, bahan penstabil (gelatin sapi), humektan (sorbitol), pengaturs keasaman (asam sitrat, asam laktat), protein, susu, perisa buah-buahan, bahan pelapis: Minyak nabati, pewarna: tartrasin CI 19140 (E102), merah alura CI 16035 (E129).

PLU :
20052776"
20, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Coklat Keju,,Rp13.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
tepung terigu, air, es, keju spreadable, pasta cokelat, air , margarin, susu lemak nabati, keju cheddar, lemak reroti, ragi, garam, perlakuan tepung, dan pengawet kalsium propionat.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN SAJI :
180 gram

PLU :
20069665"
21, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Jagung Manis,,Rp4.000,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung Terigu, Gluten, Tepung Kentang, Air, Gula Pasir, Lemak roti Nabati, Margarine,

PERHATIAN :
Jangan Terkena Sinar Matahari Langsung

TAKARAN PER KEMASAN :
50 Gram

TAKARAN SAJI :
50 Gram

PLU :
20070038"
22, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Vanila,,Rp4.000,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung Terigu, Gluten, Tepung Kentang, Air, Gula Pasir, Lemak roti Nabati, Margarine,

OTHER DETAILS :
PRIME BREAD ROTI MANIS VANILLA

PERHATIAN :
Jangan Terkena Sinar Matahari Langsung

TAKARAN PER KEMASAN :
50 Gram

TAKARAN SAJI :
50 Gram

PLU :
20070039"
23, Produk Segar   Aneka Roti   Roti Manis , Prime Bread Roti Manis Isi Krim Cokelat,,Rp4.000,"CARA PENYIMPANAN :
SIMPAN DI TEMPAT SEJUK DAN KERING

KOMPOSISI :
Tepung Terigu, Gluten, Tepung Kentang,

PERHATIAN :
JANGAN TERKENA SINAR MATAHARI LANGSUNG

TAKARAN PER KEMASAN :
50 Gram

TAKARAN SAJI :
50 Gram

PLU :
20070041"
24, Produk Segar   Aneka Roti   Roti Manis , Mr.Bread Roti Kasur 4'S Coklat Susu,,Rp13.500,"CARA PENYIMPANAN :
Simpan di Tempat Sejuk dan Kering

KOMPOSISI :
Tepung terigu, air, es, krim susu, pasta cokelat, gula, susu bubuk, ragi, lemak reroti nabati, garam, perlakuan tepung dan pengawet kalsium propionat.

PERHATIAN :
Jangan Diterima Bila Kemasan Rusak

TAKARAN SAJI :
180 gram

PLU :
20070168"
25, Minuman   Kopi   Kopi Bubuk/ Biji , Good Day Kopi Instant Cappuccino W/Coklat Granul 10X25g,Rp 19.100,Rp16.500,"CARA PENGGUNAAN :
Tuangkan 1 sachet dan tambhakan air 150mL dengan air mendidih. Kopi siap untuk disajikan.

KOMPOSISI :
Gula, krimer nabati, kopi instant, gula tebu, coklat bubuk perisa cappucinno.

PLU :
20031318"
